,ID2,ID,State,Sex,Start,End,COD,Days.Monitored,Year_Status,Survival,Status_clean
151,SC44F,"[SC44F,Intercept]",SC,F,1/12/2016,8/31/2016,NA,232,Live,1,transient
152,SC45M,"[SC45M,Intercept]",SC,M,1/12/2016,1/14/2017,NA,368,Live,1,resident
153,SC46F,"[SC46F,Intercept]",SC,F,1/13/2016,2/6/2016,NA,24,Live,1,resident
157,SC50M,"[SC50M,Intercept]",SC,M,1/14/2016,5/3/2017,NA,475,Live,1,resident
158,SC51M,"[SC51M,Intercept]",SC,M,1/14/2016,2/12/2016,NA,29,Live,1,transient
160,SC53M,"[SC53M,Intercept]",SC,M,1/15/2016,11/30/2016,NA,320,Live,1,resident
161,SC54M,"[SC54M,Intercept]",SC,M,1/15/2016,1/8/2017,NA,359,Live,1,resident
163,SC56F,"[SC56F,Intercept]",SC,F,1/15/2016,9/2/2016,NA,231,Live,1,resident
164,SC57M,"[SC57M,Intercept]",SC,M,10/1/2016,5/28/2017,NA,239,Live,1,resident
171,SC64M,"[SC64M,Intercept]",SC,M,11/8/2016,6/7/2017,NA,211,Live,1,unknown
173,SC66M,"[SC66M,Intercept]",SC,M,11/29/2016,1/1/2017,NA,33,Live,1,transient
175,SC68M,"[SC68M,Intercept]",SC,M,12/19/2016,12/20/2016,NA,1,NA,-99,unknown
176,SC69F,"[SC69F,Intercept]",SC,F,12/21/2016,6/28/2017,NA,189,Live,1,resident
177,SC70M,"[SC70M,Intercept]",SC,M,1/13/2017,6/4/2017,NA,142,Live,1,resident
178,SC71F,"[SC71F,Intercept]",SC,F,1/18/2017,6/29/2017,NA,162,Live,1,transient
179,SC72F,"[SC72F,Intercept]",SC,F,1/23/2017,6/30/2017,NA,158,Live,1,transient
180,SC73M,"[SC73M,Intercept]",SC,M,1/29/2017,1/30/2017,NA,1,NA,-99,unknown
183,SC76F,"[SC76F,Intercept]",SC,F,2/1/2017,2/2/2017,NA,1,NA,-99,unknown
184,SC77M,"[SC77M,Intercept]",SC,M,2/4/2017,2/5/2017,NA,1,NA,-99,unknown
185,SC78M,"[SC78M,Intercept]",SC,M,2/10/2017,6/28/2017,NA,138,Live,1,resident
186,SC79F,"[SC79F,Intercept]",SC,F,2/14/2017,6/9/2017,NA,115,Live,1,transient
9,AL09M,"[AL09M,Intercept]",AL,M,2/3/2015,1/22/2016,Unknown,353,Dead,0,both
15,AL15F,"[AL15F,Intercept]",AL,F,2/14/2015,8/20/2015,Unknown,187,Dead,0,both
21,AL21M,"[AL21M,Intercept]",AL,M,2/12/2015,5/16/2015,Unknown,93,Dead,0,resident
49,AL49F,"[AL49F,Intercept]",AL,F,10/29/2015,7/13/2016,Unknown,258,Dead,0,both
56,GA02F,"[GA02F,Intercept]",GA,F,2/5/2015,12/5/2015,Unknown,303,Dead,0,transient
